시장명,최종주소,X,Y,store_num,Bus_st_num,Ur_rail_nu,Bus_te_num,spot_num_3,univ_num_1,ur_park_num,Cul_hall_n,Mart_num_1,parking_num,parking_car_num,stor_cnt,residnt_cnt_sum,mkt_cnt_sum,stor_cnt_sum,person_mkt_cnt,매출액
삼익패션타운,서울특별시 중구 남대문시장 8길 7,126.9789816,37.5601849,1108,127,8,0,0,1,0,2,1,6,142,1438,125505,62,21039,6,26.99856678
제일평화시장,서울특별시 중구 마장로 13(신당동),127.0113679,37.5684618,850,100,12,0,0,0,0,2,1,4,135,1000,125505,62,21039,6,26.99856678
청량종합도매시장(깡통시장),서울특별시 동대문구 경동시장로9가길 16,127.0403213,37.58191,50,92,4,0,0,0,0,2,1,4,355,53,343377,38,5801,59,26.89025561
청림시장,경상북도 포항시 남구 청림서길 29,129.4103536,35.9965776,30,18,0,0,0,0,0,0,1,0,0,13,230573,13,828,278,26.87908042
광희패션몰,서울특별시 중구 마장로1길 21,127.0119234,37.5683944,1270,98,12,0,0,0,0,2,1,2,49,1154,125505,62,21039,6,26.85639919
동문시장㈜,서울특별시 종로구 종로44길 14,127.0113538,37.5703809,340,79,10,0,0,0,0,2,1,2,49,398,149549,36,20299,7,26.85639919
에리어식스(벨포스트),서울특별시 중구 신당동 776,127.0119947,37.5681427,387,98,12,0,0,0,0,2,1,2,49,387,125505,62,21039,6,26.85639919
만리시장,서울특별시용산구효창원로270(서계동),126.9635981,37.5513109,36,125,7,0,0,1,2,3,1,2,198,38,230151,13,960,240,26.78570916
숭인시장,서울특별시 강북구 미아동 60-5,127.0295107,37.6131596,124,121,1,0,0,0,1,0,1,6,236,113,308569,25,1588,194,26.7183152
신설종합시장,서울특별시 종로구 난계로27길 51,127.0203237,37.5726452,151,93,9,0,0,0,0,2,1,0,0,150,149549,36,20299,7,26.67366109
경동시장,서울특별시 동대문구 제기동 1015,127.0396713,37.578742,556,90,4,0,0,0,0,2,1,4,301,678,343377,38,5801,59,26.65189897
동서시장,서울특별시 동대문구 왕산로33길 13,127.0413794,37.5797381,50,87,4,0,0,0,0,2,1,4,301,52,343377,38,5801,59,26.65189897
청량리수산시장,서울특별시 동대문구 용두동 20-1,127.0409704,37.5780858,100,86,4,0,0,0,0,2,1,4,301,100,343377,38,5801,59,26.65189897
청량리종합시장,서울특별시 동대문구 경동시장로 3-1,127.0408525,37.5793373,135,87,4,0,0,0,0,2,1,4,301,135,343377,38,5801,59,26.65189897
청량리청과물시장,서울특별시 동대문구 경동시장로 7,127.0407026,37.5795433,153,88,4,0,0,0,0,2,1,4,301,101,343377,38,5801,59,26.65189897
남문시장,서울특별시 금천구 시흥대로 144길 17,126.9004209,37.4737637,116,116,0,0,0,0,2,3,1,6,187,115,232003,9,1370,169,26.56629831
부산전자종합시장,부산광역시 부산진구 부전로 196,129.0625365,35.1634717,130,56,5,0,0,1,0,1,1,1,10,135,359375,52,10181,35,26.48841852
부전시장,부산광역시 부산진구 중앙대로 783번길 23,129.0610833,35.1631419,342,54,5,0,0,0,0,1,1,1,10,344,359375,52,10181,35,26.48841852
부전인삼시장,부산광역시 부산진구 부전동 573-26,129.0611584,35.163006,62,53,5,0,0,0,0,1,1,1,10,76,359375,52,10181,35,26.48841852
풍기인삼시장,경상북도 영주시 풍기읍인삼로8,128.6240029,36.8056695,50,35,0,1,0,1,0,2,1,2,26,50,103272,23,1887,55,26.4114927
우산매일시장,광주광역시 광산구 우산동 1612- 1,126.8040683,35.1619398,42,45,0,0,0,1,0,1,1,0,0,48,406126,15,1464,277,26.36922175
서남신시장,대구광역시 달서구 감삼동 62-4,128.5458588,35.8540993,142,102,3,1,0,0,0,3,1,4,78,140,560354,70,5484,102,26.34881929
당감새시장,부산광역시 부산진구 백양대로 60번길 64,129.0421848,35.1650997,107,27,0,0,0,0,0,0,1,0,0,133,359375,52,10181,35,26.33966706
동평새시장,부산광역시 부산진구 백양순환로164번길 13-2,129.0409204,35.1666609,65,26,0,0,0,0,0,0,1,0,0,64,359375,52,10181,35,26.33966706
성곡종합시장,부산광역시 부산진구 새싹로 207-6,129.0482587,35.1748003,42,6,0,0,0,0,0,0,1,0,0,42,359375,52,10181,35,26.33966706
양정시장,부산광역시 부산진구 양정동 390,129.0697819,35.1727553,125,17,1,0,0,2,0,0,1,0,0,145,359375,52,10181,35,26.33966706
양정전통시장,부산광역시 부산진구 동평로420번길 18,129.0697819,35.1727553,70,17,1,0,0,2,0,0,1,0,0,96,359375,52,10181,35,26.33966706
연지시장,부산광역시 부산진구 연지로14,129.0514031,35.1708971,82,17,0,0,0,0,0,0,1,0,0,83,359375,52,10181,35,26.33966706
부산광역시건축자재판매협동조합,부산광역시 사상구 강변대로 570,128.9657972,35.1335168,70,16,0,0,0,0,0,0,1,1,229,70,213178,33,11709,18,26.28722286
부산광역시철강판매협동조합,부산광역시 사상구 엄궁동 643-4,128.9666474,35.1330413,50,21,0,0,0,0,0,0,1,1,229,52,213178,33,11709,18,26.28722286
대림중앙시장,서울특별시영등포구대림동 1028-4,126.8962659,37.5264087,100,116,5,0,0,0,0,1,1,3,261,84,378276,24,5119,74,26.2847252
영등포유통상가,서울특별시영등포구당산동2가 30-2,126.8962659,37.5264087,1037,116,5,0,0,0,0,1,1,3,261,1037,378276,24,5119,74,26.2847252
감만시장,부산광역시 남구 홍곡로 17,129.0822513,35.1162898,63,0,0,0,0,0,0,3,1,3,60,107,268249,23,2012,133,26.18678276
남광시장,부산광역시 남구 홍곡로 359,129.0886174,35.1239667,57,0,0,0,0,0,0,3,1,3,55,47,268249,23,2012,133,26.18678276
새감만종합시장,부산광역시 남구 홍곡로 3,129.081725,35.1163125,30,0,0,0,0,0,0,3,1,3,60,29,268249,23,2012,133,26.18678276
장위전통시장,서울특별시 성북구 장위동 68-225,127.0507053,37.6120706,91,121,2,0,0,2,0,0,1,3,80,265,438051,15,1607,273,26.12603993
정릉시장,서울특별시 성북구 장위동 68-225,127.0507053,37.6120706,114,121,2,0,0,2,0,0,1,3,80,118,438051,15,1607,273,26.12603993
