관광지명,소재지지번주소,위도,경도,면적
동춘당,대전광역시 대덕구 송촌동 192,36.36537889,127.4412933,4492
대전문화예술단지,대전광역시 서구 만년동 396,36.366496,127.3880154,33150
으능정이문화의거리,대전광역시 중구 은행동 45-10,36.32934665,127.428337,630.8
유성온천,대전광역시 유성구 봉명동 574,36.3547298,127.3375865,273970
진주성,경상남도 진주시 본성동 415,35.19043229,128.0802214,176804
진양호,경상남도 진주시 판문동 산171-1,35.17660992,128.0362677,2285
경상남도 수목원,경상남도 진주시 이반성면 대천리 482-1,35.15719862,128.2957346,1015953
금강하구둑관광지,충청남도 서천군 마서면 도삼리 71-5,36.01993599,126.736726,175384
춘장대,충청남도 서천군 서면 도둔리 1319,36.16334922,126.5243355,298930
김해가야테마파크,경상남도 김해시 어방동 986,35.25163508,128.8937494,165078
소래포구,,37.3988308,126.7403795,20798
고래불관광지,경상북도 영덕군 병곡면 병곡리 72-8,36.600476,129.410658,880400
장사해수욕장관광지,경상북도 영덕군 남정면 장사리 74-1,36.28241809,129.3755929,104219
작원관지,경남 밀양시 삼랑진읍 검세리,,128.867415,16000
고구려대장간마을,경기도 구리시 아천동 산45-1,37.56080787,127.1109492,4928
동구릉,경기 구리시 인창동 66-1,37.618696,127.134226,1969675
함평해수찜,,35.10050068,126.4648643,993
함평자연생태공원,,35.13500123,126.5057,597250
함평양서파충류생태공원,,35.13834076,126.4937003,85000
함평엑스포공원,,35.05813923,126.5226056,246907
일강김철선생기념관,,35.18893103,126.4801235,10770
왜목마을 관광지,,37.04443421,126.5261293,133876
난지도 관광지,충청남도 당진시 석문면 난지도리 599,37.042646,126.422393,155440
구드래,,36.28711854,126.9048797,148515
서동요,,36.145203,126.8236629,174508
백제문화단지,,36.30757158,126.9084946,3024905
춘장대해수욕장,,36.16334922,126.5243355,298930
칠갑산 도림온천,충청남도 청양군 장평면 적곡리 471-8,36.389488,126.906103,140102
남당,충청남도 홍성군 서부면 남당리 859-2,36.539203,126.471666,166200
예당관광지,충청남도 예산군 응봉면 후사리 448-1,36.63752257,126.7989717,143000
덕산온천,,36.69075649,126.659382,724545
만리포해수욕장 관광지,충청남도 태안군 소원면 모항리 1395,36.783122,126.143469,321562
대전둘레산길,대전광역시 중구 대사동 195-2,36.30879672,127.4231236,159000
간현관광지,강원도 원주시 지정면 간현리 1056-5,37.36489327,127.832544,364644
신정호국민관광지,충청남도 아산시 방축동 5,36.77152141,126.9839152,271169
아산온천관광지,충청남도 아산시 음봉면 신수리 292-6,36.69884759,126.9666069,844000
표충비,,35.471582,128.6520376,7122
예림서원,,35.46605971,128.7299691,41367
나주영상테마파크,전라남도 나주시 공산면 신곡리 산2,34.9789507,126.5995011,140116
남파고택,전라남도 나주시 남내동 95-25,35.0306171,126.71622,2960
반남고분군,전라남도 나주시 반남면 신촌리 249-2,34.914685,126.6591998,121397
백호문학관,전라남도 나주시 다시면 회진리 103,34.996891,126.6647524,387
쌍근어촌체험마을,,34.76238394,128.5894504,1451.25
씨라인,경상남도 거제시 덕포동 81-5,34.912305,128.714841,514.12
오션베이,경상남도 거제시 일운면 소동리 59,34.8437915,128.7029763,10630.15
옥포대첩기념공원,경상남도 거제시 옥포2동 산1-1,34.90219568,128.7140612,25046.53
