공원명,소재지지번주소,위도,경도,공원면적
동백제4공원(산오름공원),경기도 용인시 기흥구 동백동 589번지,37.280001,127.164101,40383
동백제5공원(새물공원),경기도 용인시 기흥구 동백동 657번지,37.281401,127.156001,23177
동백제14공원(토리공원),경기도 용인시 기흥구 중동 1049번지,37.265101,127.156101,11074
서봉숲 공원,경기도 용인시 수지구 상현동 1151번지,37.299401,127.082801,123274
제44호 근린공원(관곡근린공원),경기도 용인시 기흥구 구갈동 350번지,37.281901,127.113301,11060
소공원,부산광역시 남구 용호동 372-24,35.120114,129.113082,1258
제43호 근린공원(갈천근린공원),경기도 용인시 기흥구 신갈동 164번지,37.284401,127.110101,26037
제46호 근린공원(용뫼근린공원),경기도 용인시 기흥구 상갈동 495번지,37.264301,127.108101,11999
제61호 어린이공원(상갈),경기도 용인시 기흥구 상갈동 102-5번지,37.267801,127.106001,1650
제62호 어린이공원(금화5),경기도 용인시 기흥구 상갈동 455번지,37.267001,127.109801,3145
제64호 어린이공원(금화1),경기도 용인시 기흥구 상갈동 461-2번지,37.263701,127.109101,1515
제63호 어린이공원(금화3),경기도 용인시 기흥구 상갈동 481-2번지,37.262001,127.106501,1546
제15호 어린이공원,경기도 용인시 수지구 동천동 865번지,37.337401,127.095401,2773
동백제10공원(튼싹공원),경기도 용인시 기흥구 중동 833-1번지,37.278001,127.152601,9764
동진원1공원,경기도 용인시 기흥구 중동 1099(구 산4-3번지),37.286401,127.144701,34372
소공원,경기도 용인시 수지구 상현동1110번지,37.301901,127.075001,835
제106호 어린이공원,경기도 용인시 기흥구 언남동 504번지,37.294501,127.125001,2586
