순번,학제,학교명,주소,X,Y
250,전문대학(3년제),전주기전대학,"전라북도 전주시 완산구 전주천서로 267 (중화산동1가, 전주기전대학)",127.1357107,35.8172963
251,전문대학(2년제),경북보건대학교,"경상북도 김천시 대학로 168 (삼락동, 경북보건대학교)",128.0842692,36.1385561
252,전문대학(3년제),김포대학교,"경기도 김포시 월곶면 김포대학로 97 (포내리, 김포대학교)",126.5468433,37.730214
253,전문대학(3년제),농협대학교,"경기도 고양시 덕양구 서삼릉길 281 (원당동, 농협대학)",126.872597,37.6593476
254,전문대학(2년제),대경대학교,"경상북도 경산시 자인면 단북1길 65 (단북리, 대경대학)",128.8228073,35.8348024
255,전문대학(2년제),대구공업대학교,"대구광역시 달서구 송현로 205 (본동, 대구공업대학)",128.5428287,35.8351221
256,전문대학(3년제),대구보건대학교,"대구광역시 북구 영송로 15 (태전동, 대구보건대학)",128.54346,35.9275855
257,전문대학(3년제),수성대학교,"대구광역시 수성구 달구벌대로528길 15 (만촌동, 수성대학교)",128.6478038,35.8540887
258,전문대학(2년제),대구과학대학교,"대구광역시 북구 영송로 47 (태전동, 대구과학대학)",128.5431422,35.929732
259,전문대학(2년제),대동대학교,"부산광역시 금정구 동부곡로27번길 88 (부곡동, 대동대학교)",129.0957527,35.2289854
260,전문대학(3년제),대림대학교,"경기도 안양시 동안구 임곡로 29 (비산동, 대림대학교)",126.9305429,37.4035869
261,전문대학(2년제),대원대학교,"충청북도 제천시 대학로 316 (신월동, 대원대학)",128.1902187,37.1763598
262,전문대학(2년제),동서울대학교,"경기도 성남시 수정구 복정로 76 (복정동, 동서울대학)",127.1292063,37.4595693
263,전문대학(2년제),대전보건대학교,"대전광역시 동구 충정로 21 (가양동, 대전보건대학)",127.4545614,36.3492399
