번호,사업장명,도로명전체주소,소재지면적,X,Y
3678,홈플러스 주식회사 전주점,전라북도 전주시 덕진구 백제대로 771 (우아동3가),8890.4,127.1528962,35.8475042
3679,롯데쇼핑(주)롯데마트 전주송천점,전라북도 전주시 덕진구 송천중앙로 82 (송천동1가),10386.54,127.1203833,35.854481
3680,롯데쇼핑(주) 롯데마트 전주점,전라북도 전주시 완산구 우전로 240 (효자동2가),10429,127.102512,35.816368
3681,홈플러스 주식회사 전주완산점,전라북도 전주시 완산구 기린대로 170 (중노송동),12591,127.1501178,35.823609
3685,(주)이마트 울산점,울산광역시 남구 남중로 48 (삼산동),12242.17,129.3484238,35.5379405
3688,홈플러스 주식회사 울산남구점,울산광역시 남구 수암로 148 (야음동),28885,129.3227064,35.5263732
3694,홈플러스테스코(주)울산북구점,울산광역시 북구 신답로 26 (상안동),0,129.3448249,35.630075
3697,롯데마트 울산점,울산광역시 남구 삼산로 74 (달동),10704,129.3156739,35.5339039
3711,(주)이마트 안동점,경상북도 안동시 옥동1길 2 (옥동),7639.69,128.699402,36.5584773
3712,홈플러스(주) 안동점,경상북도 안동시 경동로 656 (운흥동),19660,128.7295693,36.5626584
3715,롯데쇼핑(주)롯데마트사상점,부산광역시 사상구 낙동대로 733 (엄궁동),14645,128.9683713,35.1275831
3720,(주)이마트 사상점,부산광역시 사상구 광장로 17 (괘법동),17652,128.978893,35.1642215
3724,홈플러스(주)서부산점,부산광역시 사상구 광장로 7 (괘법동),10310,128.9777082,35.1642761
3748,롯데쇼핑(주)롯데마트화명점,"부산광역시 북구 화명대로 47 (화명동, 롯데마트(화명점))",8579.51,129.0130109,35.2351595
3759,홈플러스(주) 문화점,대전광역시 중구 계백로 1690 (문화동),11745.57,127.4076874,36.320285
3762,코스트코 홀세일 대전점,대전광역시 중구  오류로  41 (오류동),13103.77,127.403505,36.3239954
3781,(주)이마트 칠성점,대구광역시 북구 침산로 93 (칠성동2가),8651.61,128.5897544,35.8851586
3790,(주)홈플러스 칠곡점,대구광역시 북구 동암로12길 8 (동천동),14022,128.5558597,35.944915
3803,홈플러스(주) 대구점,대구광역시 북구 중앙대로 543 (칠성동2가),20207.18,128.5957064,35.8813076
3809,코스트코 홀세일,대구광역시 북구 검단로 97 (산격동),11525.46,128.6181287,35.9063319
3007,(주)이마트 성수점,서울특별시 뚝섬로 379,17318,126.9778779,37.5664106
1105,(주)이마트 보라점,경기도 용인시 기흥구 한보라1로 92 (보라동),7116.1,127.1052083,37.2475649
1143,(주) 이마트 보령점,충청남도 보령시 해안로 25 (궁촌동),8061.15,126.5888897,36.3439375
2005,홈플러스(주)계림점,광주광역시 동구 무등로 314 (계림동),11182,126.916636,35.1614484
2217,(주)이마트 포항점,경상북도 포항시 남구 냉천로 10 (인덕동),12499.62,129.398927,35.9913581
2576,(주)이마트중동점,경기도 부천시 석천로 188 (중동),12833.18,126.763952,37.504068
2610,(주)이마트 킨텍스 쇼핑센타,"경기도 고양시 일산서구 킨텍스로 171 (대화동, 이마트타운)",27094.76,126.7440609,37.6615809
2611,이마트 풍산점,경기도 고양시 일산동구 무궁화로 237 (중산동),12545,126.7871447,37.673853
2739,홈플러스(주)구월점,인천광역시 남동구 예술로 198 (구월동),12117.34,126.7019626,37.4517923
2816,홈플러스영주점,경상북도 영주시 대학로 29 (휴천동),9940,128.6212852,36.8091353
3029,홈플러스(주)면목점,서울특별시 중랑구 사가정로 332 (면목동),8128.82,127.0811837,37.5808565
3283,홈플러스 주식회사 울산동구점,울산광역시 동구 방어진순환도로 637 (일산동),12494,129.4274464,35.4989423
3589,홈플러스(주)송우점,경기도 포천시 소흘읍 솔모루로 9,10845,127.1413067,37.8242891
3603,홈플러스(주) 평촌점,"경기도 안양시 동안구 동안로 162 (비산동, 홈플러스)",6389.5,126.9504189,37.3932767
3613,홈플러스(주) 안양점,경기도 안양시 동안구 엘에스로 92 (호계동),11034.15,126.9506715,37.3719148
1368,홈플러스(주) 세종점,세종특별자치시 절재로 154 (어진동),23716,127.2588939,36.5074062
1844,홈플러스 인천송도점,인천광역시 연수구 송도국제대로 165-0 (송도동),29337,126.6563729,37.3802274
2027,(주)이마트 통영점,"경상남도 통영시 광도면 죽림4로 9, 이마트통영점",0,128.4176442,34.887015
3156,롯데쇼핑(주) 롯데마트 김천점,경상북도 김천시 시청로 80 (신음동),9111.86,128.1177884,36.1359682
